rank	book_id	score	preview	start_line
1	61708	14.165571	werden. Dornröschen. Nach den Vorstellungen mußte oft bis vier Uhr Morgens	2229
2	35116	12.972712	little Dornröschen who had retired to her solitude, and was dreaming of	4524
3	28100	12.685227	Ansicht entsprechen, beispielsweise unser allerliebstes Dornröschen.	2144
4	63465	12.599888	Das Dornröschen.	7438
5	62670	12.434546	Nr. 1. =Dornröschen=, gez. v. J. Diez, München	679
6	42900	12.300697	Dornröschen	106
7	19716	12.156673	3. Dornröschen.	1920
8	30038	11.846555	DORNRÖSCHEN	792
9	22160	11.761064	{Section VII.} Musik, Dornröschen etc.......................... 143	211
10	35547	11.379372	willst, so mache ich das Dornröschen im Schloß, und du kommst mich	765
11	65600	11.263148	Teich ein weltvergessenes Waldmärchen. Ein grünlockiges Dornröschen,	2629
12	68401	10.221047	farbige Vervielfältigung nach einer Originalzeichnung „Dornröschen	2220
13	30269	9.917737	ought not to be. They did not long believe in Dornröschen and	1483
14	31281	9.673266	88. Dornröschen.	4046
15	71976	9.512509	miterlebt haben? Es bestehen Pläne, auch dieses Dornröschen aus langem	449
16	40801	9.431628	elé: mintha a Dornröschen kastélya előtt állapodtak volna meg. Sehol,	289
17	60684	9.384251	Dornröschen und dem Ritter Blaubart im dunklen Waldesgrund.	2485
18	70560	9.234952	Wein darum und legte mich mit geschlossenen Augen ins Gras. Dornröschen	1369
19	18947	9.077096	_Dornröschen_, or the Sleeping Beauty, there are twelve good fays;	6199
20	45661	8.999231	Erfolg gefunden. Denn an die hundertjährigen Hecken, die das Dornröschen	333
21	27254	8.937127	der Tat, sie ist märchenhaft: ein Dornröschen, durch das reine Streben	96
22	54738	8.923201	Elise, von uns das Dornröschen genannt, im Russischen übte.	4391
23	39782	8.846545	Dornröschen, which in English we call The Sleeping Beauty, where the	775
24	46550	8.700415	Resultat anging, ebensogut vom Dornröschen hätten besetzt sein können,	398
25	50444	8.610106	ebensogut vor das schlafende Schloß der Prinzeß Dornröschen kommen	1309
26	66573	8.575328	von Dornröschen findet, die von Rosenduft und Morgentau zu leben glauben,	1576
27	69797	8.480012	aufgepflanzt, vornean der Lautenspieler, blond wie Dornröschen und das	602
28	60579	8.155398	gewesen, der so bekannte Weltmärchen wie »Dornröschen«, »Blaubart«,	3858
29	16248	8.137307	followed in 1902 by 'Dornröschen,' another fairy play accompanied by	7609
30	48127	7.793331	vom Dornröschen an, aber der böse Sandmann kam und streute so viel Sand	2045
31	50888	7.757792	liegen, bis endlich ein erwachsendes Dornröschen, eine junge, wenig	4849
32	61833	7.696073	Darstellungen aus dem Märchen (Dornröschen) und der Sage (Barbarossa)	3056
33	64466	7.392404	zurück. Die Mutter erzählte gerade die Geschichte vom Dornröschen, er	5653
34	51901	7.391876	mir den Weg zur Prinzeß Dornröschen gebahnt hatte -- war eine Lüge! Mit	5084
35	59173	7.359688	antanut hänelle nimen _Dornröschen_, -- prinsessa Ruusunen. Aurora	5979
36	31099	7.179706	when on stable duty, allowed Dornröschen to get caught in her chain.	1408
37	46204	7.025084	Erfolg gehabt. Denn an die hundertjährigen Hecken, die das Dornröschen von	1229
38	12012	6.984686	Kindermärchen vom Dornröschen wird hievon gesungen und gesagt. Denn wenn	1717
39	66391	6.929884	Schneewitschen, Der Rattenfänger von Hamlin, Dornröschen, and all the	3300
40	71774	6.846221	Dornröschen; Marienkind.	6630
41	15070	6.704667	Leben im Mutterschoß wie Dornröschen in den Hecken, bis ein einziger	408
42	42286	6.645278	Dornröschen népe, s csak Viktor ketyegett, mint egy ócska falióra: a kis	10251
43	29634	6.330087	"1895. April 13. Introduction to opera ""Dornröschen."" Boston, Mass."	10428
44	49395	6.287446	Frau Dornröschen. M. 3.--.	8263
45	45936	6.207656	Dornröschen hat sicherlich darauf Bezug, und ich wüßte nicht, was diese	2107
46	15591	6.156932	imatchination! _Ach, lieber Gott! Dornröschen_, cultivate you the	2699
47	46497	6.094385	[45] Cf. Simrock, _Handbuch der deutschen Mythologie_, _Dornröschen_.	7890
48	28938	6.085400	Dornröschen, ein selig Erwachen. Ich, dein Sohn, bin dein Ritter. Ich will	1399
49	62473	5.968691	álmot aludtak, de uj életre keltek s a Dornröschen bennük rejlett örök	5512
50	5724	5.935182	into Dornröschen, the Sleeping Beauty of our children's tales.	8067
51	68883	5.922324	ein Wachsfigurencabinet, in welchem z. B. Dornröschen, von einem	5728
52	2779	5.859124	Dornröschen, die darauf warten, von der Barmherzigkeit und	4692
53	13666	5.858295	narration of the story and the dramatic game, _Dornröschen_. A wide	4467
54	62673	5.849068	so wie Dornröschen in ihrem moosgrünen Bett,	14778
55	38502	5.636655	Dornröschen schlummert. Aber als des Jahres letzte Henkerstündlein	3644
56	71744	5.551572	"a poem she called ""_Dornröschen_"":"	3098
57	49199	5.358837	Dornröschen dar, wie der Prinz es gerade wachküßt, das schenkte sie ihm.	766
58	63498	5.349733	auch das verborgene Veilchen und das Dornröschen in der Wildniß.	11724
59	49083	5.339780	vom schlafenden Dornröschen zu Grunde gelegt, und lasse vier schnurrige	8072
60	43393	5.041583	Dornröschen herself, but her money-bags from the spell. Well, the	8154
61	13814	5.020329	briar round the beautiful maiden (hence named Dornröschen) when the	1114
62	60500	4.995277	Busens. Sein Lippenpaar ist auch so ein Dornröschen, so knospend, so	11854
63	56769	4.943248	Dornröschen selbst, sondern ihre Geldsäcke aus dem Zauberbanne erlöst?	9386
64	62021	4.935829	demi éveillée. Christophe la nommait _Dornröschen_, la Belle au Bois	12467
65	47584	4.610999	cocinero del cuento de Dornröschen, lo primero que hizo al despertarse	8651
66	53856	4.416032	Da schlief Dornröschen, die schöne Prinzessin, hinter dem Zauber der	12403
67	30211	4.312256	cuisinier du conte de Dornröschen, la première chose qu'elle fit en se	9016
68	16301	4.209599	klang, von Schneewittchen und Dornröschen erzählend oder von der kleinen	632
69	54392	4.184149	has produced several other fairy operas, such as “Dornröschen,” “Die	14968
70	24782	4.139512	Schlummer geschlossenen Augen auf, wie die Prinzessin Dornröschen im	13605
71	68990	4.024931	Geislein_ (1897), _Dornröschen_ (1902), and the comic opera _Die	8462
72	56280	3.941179	Königskinder_, and in 1902 by _Dornröschen_. In 1896, Humperdinck was	18104
73	7967	3.666522	_Dornröschen_--the Sleeping Beauty. She reminded him of his old	18590
74	45259	3.029736	4. Op. 66. _Dornröschen_ (Sleeping Beauty). Ballet in three acts, with a	27624
75	5314	2.793509	50 Little Briar-Rose (Dornröschen)	91
76	25545	2.223202	"""Dornröschen,"" and the more literal"	11958
77	10223	0.981275	Volksgesang und Dornröschen (in der Berliner Nationalgalerie)	62943
